tx_time,tx_slot,tx_time_ms,h_id,tbs,rv,nrtx,success,outcome,reason
2025-12-05 21:23:51.479906,760.5,7602.5,10,5889.0,0.0,0.0,True,acked,No retransmission (implicit ACK)
2025-12-05 21:23:51.480394,760.6,7603.0,3,5889.0,0.0,0.0,True,acked,No retransmission (implicit ACK)
2025-12-05 21:23:51.480882,760.7,7603.5,14,2817.0,0.0,0.0,True,acked,No retransmission (implicit ACK)
2025-12-05 21:23:51.482395,760.1,7600.5,13,5889.0,0.0,0.0,True,acked,No retransmission (implicit ACK)
2025-12-05 21:23:51.482874,760.11,7605.5,6,5889.0,0.0,0.0,True,acked,No retransmission (implicit ACK)
2025-12-05 21:23:51.483481,760.12,7606.0,4,5889.0,0.0,0.0,True,acked,No retransmission (implicit ACK)
2025-12-05 21:23:51.483929,760.13,7606.5,1,5889.0,0.0,0.0,True,acked,No retransmission (implicit ACK)
2025-12-05 21:23:51.484381,760.14,7607.0,0,5889.0,0.0,0.0,True,acked,No retransmission (implicit ACK)
2025-12-05 21:23:51.484842,760.15,7607.5,2,5889.0,0.0,0.0,True,acked,No retransmission (implicit ACK)
2025-12-05 21:23:51.485470,760.16,7608.0,7,5889.0,0.0,0.0,True,acked,No retransmission (implicit ACK)
2025-12-05 21:23:51.485957,760.17,7608.5,10,2817.0,0.0,0.0,True,acked,No retransmission (implicit ACK)
2025-12-05 21:23:51.487379,761.0,7610.0,11,3521.0,0.0,0.0,True,acked,No retransmission (implicit ACK)
2025-12-05 21:23:51.487967,761.1,7610.5,15,5889.0,0.0,0.0,True,acked,No retransmission (implicit ACK)
2025-12-05 21:23:51.488442,761.2,7611.0,12,5889.0,0.0,0.0,True,acked,No retransmission (implicit ACK)
2025-12-05 21:23:51.488923,761.3,7611.5,9,5889.0,0.0,0.0,True,acked,No retransmission (implicit ACK)
2025-12-05 21:23:51.489363,761.4,7612.0,8,5889.0,0.0,0.0,True,acked,No retransmission (implicit ACK)
2025-12-05 21:23:51.489924,761.5,7612.5,5,5889.0,0.0,0.0,True,acked,No retransmission (implicit ACK)
2025-12-05 21:23:51.490919,761.7,7613.5,0,2817.0,0.0,0.0,True,acked,No retransmission (implicit ACK)
2025-12-05 21:23:51.492456,761.1,7610.5,2,5889.0,0.0,0.0,True,acked,No retransmission (implicit ACK)
2025-12-05 21:23:51.492919,761.11,7615.5,1,5889.0,0.0,0.0,True,acked,No retransmission (implicit ACK)
2025-12-05 21:23:51.493349,761.12,7616.0,4,5889.0,0.0,0.0,True,acked,No retransmission (implicit ACK)
2025-12-05 21:23:51.493971,761.13,7616.5,6,5889.0,0.0,0.0,True,acked,No retransmission (implicit ACK)
2025-12-05 21:23:51.494413,761.14,7617.0,13,5889.0,0.0,0.0,True,acked,No retransmission (implicit ACK)
2025-12-05 21:23:51.494880,761.15,7617.5,14,5889.0,0.0,0.0,True,acked,No retransmission (implicit ACK)
2025-12-05 21:23:51.495394,761.16,7618.0,3,5889.0,0.0,0.0,True,acked,No retransmission (implicit ACK)
2025-12-05 21:23:51.497394,762.0,7620.0,5,3521.0,0.0,0.0,True,acked,No retransmission (implicit ACK)
2025-12-05 21:23:51.497868,762.1,7620.5,8,5889.0,0.0,0.0,True,acked,No retransmission (implicit ACK)
2025-12-05 21:23:51.498479,762.2,7621.0,9,5252.0,0.0,0.0,True,acked,No retransmission (implicit ACK)
2025-12-05 21:23:51.498900,762.3,7621.5,12,5252.0,0.0,0.0,True,acked,No retransmission (implicit ACK)
2025-12-05 21:23:51.499399,762.4,7622.0,15,5252.0,0.0,0.0,True,acked,No retransmission (implicit ACK)
2025-12-05 21:23:51.499879,762.5,7622.5,11,5889.0,0.0,0.0,True,acked,No retransmission (implicit ACK)
2025-12-05 21:23:51.500461,762.6,7623.0,13,5889.0,0.0,0.0,True,acked,No retransmission (implicit ACK)
2025-12-05 21:23:51.500940,762.7,7623.5,6,2817.0,0.0,0.0,True,acked,No retransmission (implicit ACK)
2025-12-05 21:23:51.502485,762.1,7620.5,14,5889.0,0.0,0.0,True,acked,No retransmission (implicit ACK)
2025-12-05 21:23:51.502956,762.11,7625.5,4,5889.0,0.0,0.0,True,acked,No retransmission (implicit ACK)
2025-12-05 21:23:51.503426,762.12,7626.0,1,5889.0,0.0,0.0,True,acked,No retransmission (implicit ACK)
2025-12-05 21:23:51.503888,762.13,7626.5,2,5889.0,0.0,0.0,True,acked,No retransmission (implicit ACK)
2025-12-05 21:23:51.504325,762.14,7627.0,0,5889.0,0.0,0.0,True,acked,No retransmission (implicit ACK)
2025-12-05 21:23:51.504930,762.15,7627.5,10,5889.0,0.0,0.0,True,acked,No retransmission (implicit ACK)
2025-12-05 21:23:51.505428,762.16,7628.0,7,5889.0,0.0,0.0,True,acked,No retransmission (implicit ACK)
2025-12-05 21:23:51.507427,763.0,7630.0,11,3521.0,0.0,0.0,True,acked,No retransmission (implicit ACK)
2025-12-05 21:23:51.507909,763.1,7630.5,15,5889.0,0.0,0.0,True,acked,No retransmission (implicit ACK)
2025-12-05 21:23:51.508375,763.2,7631.0,12,5889.0,0.0,0.0,True,acked,No retransmission (implicit ACK)
2025-12-05 21:23:51.508938,763.3,7631.5,9,5889.0,0.0,0.0,True,acked,No retransmission (implicit ACK)
2025-12-05 21:23:51.509409,763.4,7632.0,8,5889.0,0.0,0.0,False,retransmitted,Retransmitted at nrtx=1
2025-12-05 21:23:51.509889,763.5,7632.5,5,5889.0,0.0,0.0,True,acked,No retransmission (implicit ACK)
2025-12-05 21:23:51.510394,763.6,7633.0,3,5889.0,0.0,0.0,False,retransmitted,Retransmitted at nrtx=1
