time,ue,rnti,h_id,mcs,tbs,nrtx,rv,type
2025-12-05 21:24:01.370369,0,0x4601,13,27,5889,0,0,PDSCH
2025-12-05 21:24:01.370990,0,0x4601,3,27,2817,0,0,PDSCH
2025-12-05 21:24:01.372407,0,0x4601,5,27,5889,0,0,PDSCH
2025-12-05 21:24:01.372853,0,0x4601,12,27,5889,0,0,PDSCH
2025-12-05 21:24:01.373461,0,0x4601,14,27,5889,0,0,PDSCH
2025-12-05 21:24:01.373927,0,0x4601,7,27,5889,0,0,PDSCH
2025-12-05 21:24:01.374367,0,0x4601,6,27,5889,0,0,PDSCH
2025-12-05 21:24:01.374825,0,0x4601,1,27,5889,0,0,PDSCH
2025-12-05 21:24:01.377475,0,0x4601,11,27,233,0,0,PDSCH
2025-12-05 21:24:01.377925,0,0x4601,9,27,5889,0,0,PDSCH
2025-12-05 21:24:01.378388,0,0x4601,10,24,5252,0,0,PDSCH
2025-12-05 21:24:01.378855,0,0x4601,0,24,5252,0,0,PDSCH
2025-12-05 21:24:01.379437,0,0x4601,4,24,5252,0,0,PDSCH
2025-12-05 21:24:01.379926,0,0x4601,2,27,5889,0,0,PDSCH
2025-12-05 21:24:01.380427,0,0x4601,8,27,5889,0,0,PDSCH
2025-12-05 21:24:01.380892,0,0x4601,6,27,2817,0,0,PDSCH
2025-12-05 21:24:01.382419,0,0x4601,1,27,5889,0,0,PDSCH
2025-12-05 21:24:01.382923,0,0x4601,7,27,5889,0,0,PDSCH
2025-12-05 21:24:01.383363,0,0x4601,14,27,5889,0,0,PDSCH
2025-12-05 21:24:01.383944,0,0x4601,12,27,5889,0,0,PDSCH
2025-12-05 21:24:01.384412,0,0x4601,5,27,5889,0,0,PDSCH
2025-12-05 21:24:01.384858,0,0x4601,3,27,5889,0,0,PDSCH
2025-12-05 21:24:01.385370,0,0x4601,13,27,5889,0,0,PDSCH
2025-12-05 21:24:01.385985,0,0x4601,2,27,2817,0,0,PDSCH
2025-12-05 21:24:01.387388,0,0x4601,4,27,3521,0,0,PDSCH
2025-12-05 21:24:01.387999,0,0x4601,0,27,5889,0,0,PDSCH
2025-12-05 21:24:01.388457,0,0x4601,10,27,5889,0,0,PDSCH
2025-12-05 21:24:01.388937,0,0x4601,9,27,5889,0,0,PDSCH
2025-12-05 21:24:01.389351,0,0x4601,11,27,5889,0,0,PDSCH
2025-12-05 21:24:01.389813,0,0x4601,15,27,5889,0,0,PDSCH
2025-12-05 21:24:01.390461,0,0x4601,5,27,5889,0,0,PDSCH
2025-12-05 21:24:01.390914,0,0x4601,12,27,2817,0,0,PDSCH
2025-12-05 21:24:01.392450,0,0x4601,3,27,5889,0,0,PDSCH
2025-12-05 21:24:01.392927,0,0x4601,14,27,5889,0,0,PDSCH
2025-12-05 21:24:01.393431,0,0x4601,7,27,5889,0,0,PDSCH
2025-12-05 21:24:01.393861,0,0x4601,1,27,5889,0,0,PDSCH
2025-12-05 21:24:01.394422,0,0x4601,6,27,5889,0,0,PDSCH
2025-12-05 21:24:01.394913,0,0x4601,8,27,5889,0,0,PDSCH
2025-12-05 21:24:01.397397,0,0x4601,15,27,3521,0,0,PDSCH
2025-12-05 21:24:01.397904,0,0x4601,11,27,5889,0,0,PDSCH
2025-12-05 21:24:01.398308,0,0x4601,9,24,5252,0,0,PDSCH
2025-12-05 21:24:01.398912,0,0x4601,10,24,5252,0,0,PDSCH
2025-12-05 21:24:01.399414,0,0x4601,0,24,5252,0,0,PDSCH
2025-12-05 21:24:01.399877,0,0x4601,4,27,5889,0,0,PDSCH
2025-12-05 21:24:01.400354,0,0x4601,2,27,5889,0,0,PDSCH
2025-12-05 21:24:01.400982,0,0x4601,6,27,2817,0,0,PDSCH
2025-12-05 21:24:01.402382,0,0x4601,8,27,5889,0,0,PDSCH
2025-12-05 21:24:01.402952,0,0x4601,1,27,5889,0,0,PDSCH
2025-12-05 21:24:01.403431,0,0x4601,7,27,5889,0,0,PDSCH
2025-12-05 21:24:01.403933,0,0x4601,14,27,5889,0,0,PDSCH
2025-12-05 21:24:01.404344,0,0x4601,3,27,5889,0,0,PDSCH
2025-12-05 21:24:01.404955,0,0x4601,12,27,5889,0,0,PDSCH
2025-12-05 21:24:01.405460,0,0x4601,5,27,5889,0,0,PDSCH
2025-12-05 21:24:01.405931,0,0x4601,13,27,2817,0,0,PDSCH
2025-12-05 21:24:01.407447,0,0x4601,4,27,3521,0,0,PDSCH
2025-12-05 21:24:01.407914,0,0x4601,0,27,5889,0,0,PDSCH
2025-12-05 21:24:01.408415,0,0x4601,10,27,5889,0,0,PDSCH
2025-12-05 21:24:01.408867,0,0x4601,9,27,5889,0,0,PDSCH
2025-12-05 21:24:01.409433,0,0x4601,11,27,5889,0,0,PDSCH
2025-12-05 21:24:01.409913,0,0x4601,15,27,5889,0,0,PDSCH
2025-12-05 21:24:01.410882,0,0x4601,3,27,2817,0,0,PDSCH
2025-12-05 21:24:01.412400,0,0x4601,12,27,5889,0,0,PDSCH
2025-12-05 21:24:01.412910,0,0x4601,14,27,5889,0,0,PDSCH
2025-12-05 21:24:01.413455,0,0x4601,7,27,5889,0,0,PDSCH
2025-12-05 21:24:01.413937,0,0x4601,1,27,5889,0,0,PDSCH
2025-12-05 21:24:01.414403,0,0x4601,8,27,5889,0,0,PDSCH
2025-12-05 21:24:01.414849,0,0x4601,6,27,5889,0,0,PDSCH
2025-12-05 21:24:01.415359,0,0x4601,2,27,5889,0,0,PDSCH
2025-12-05 21:24:01.417399,0,0x4601,15,27,3521,0,0,PDSCH
2025-12-05 21:24:01.417951,0,0x4601,11,27,5889,0,0,PDSCH
2025-12-05 21:24:01.418454,0,0x4601,9,24,5252,0,0,PDSCH
2025-12-05 21:24:01.418875,0,0x4601,10,24,5252,0,0,PDSCH
2025-12-05 21:24:01.419362,0,0x4601,0,24,5252,0,0,PDSCH
2025-12-05 21:24:01.419940,0,0x4601,4,27,5889,0,0,PDSCH
2025-12-05 21:24:01.420459,0,0x4601,8,27,5889,0,0,PDSCH
2025-12-05 21:24:01.420895,0,0x4601,1,27,2817,0,0,PDSCH
2025-12-05 21:24:01.422429,0,0x4601,6,27,5889,0,0,PDSCH
2025-12-05 21:24:01.422899,0,0x4601,7,27,5889,0,0,PDSCH
