pw,mean,std,count,median
2039.9999999999,23.380666666666666,25.39585342172111,39,7.38
2045.0,25.17007894736842,24.044730160829676,38,14.25
2049.9999999999,34.20230769230769,21.198427080618686,39,27.6
2055.0,22.267260869565213,28.63787023445035,23,2.17
2059.9999999999,34.01234210526316,20.97007111856416,38,26.75
2065.0,24.80423076923077,25.293337631688846,39,8.9
2070.0,32.63810256410256,21.5734352201899,39,25.2
2075.0,17.922179487179488,23.868651824948575,39,3.16
2080.0,25.563128205128205,24.896715359534017,39,12.3
2085.0,33.02017948717949,21.928444674334695,39,26.3
2090.0,23.49046153846154,22.033545201573837,39,13.4
2095.0,26.121794871794872,24.686809427175017,39,14.8
2100.0,18.176184210526316,24.580652590522494,38,1.9899999999999998
2105.0,33.35397368421053,21.68964996849985,38,25.55
2110.0,28.003179487179487,24.171009187684884,39,16.7
2114.9999999999,31.80371794871795,23.3478991796385,39,30.0
2120.0,27.950473684210525,24.20031586988053,38,16.1
2124.9999999999,31.40186842105263,22.140010522924147,38,20.65
2130.0,23.97375,30.34153400152651,20,0.385
2134.9999999999,24.417650000000002,30.06786363908186,20,3.1745
2140.0,25.67536842105263,21.54668626359233,38,15.399999999999999
2144.9999999999,20.907078947368422,24.2391497625188,38,6.895
2150.0,23.51225641025641,24.917909832211205,39,8.59
2155.0,28.228153846153845,23.74085605530825,39,18.1
2160.0,33.46379487179487,21.568742486072274,39,27.0
2165.0,28.519823529411763,30.820212489605126,17,11.4
2170.0,22.437909090909088,29.242391394472723,22,0.7034999999999999
2175.0,24.476,29.92370378848602,20,1.2085
2180.0,35.687875000000005,21.068268615886637,40,30.95
2185.0,37.974783783783785,19.405401635076213,37,30.0
2190.0,24.90357692307692,26.697913780927642,26,26.6
2195.0,29.797,22.694524388286403,39,18.6
2199.9999999999,30.740743589743587,22.638115646797697,39,22.8
2205.0,29.848076923076924,22.577977023948073,39,23.4
2209.9999999999,27.390575000000002,24.261074336124288,40,16.1
2215.0,33.40992307692308,21.59461222082053,39,26.6
2219.9999999999,29.748842105263154,23.410439780814716,38,22.8
2225.0,28.534846153846154,23.684813548301655,39,17.5
2229.9999999999,32.49969230769231,21.368368148360943,39,28.6
2235.0,32.38076315789474,22.772088274944156,38,24.55
2240.0,35.022974999999995,21.29144028018037,40,29.9
2245.0,28.904794871794874,23.319329223425342,39,17.9
2250.0,35.02265,21.277893758486428,40,29.7
2255.0,28.776725,23.370248425862705,40,17.9
2260.0,31.183891891891893,24.46660836026634,37,29.3
2265.0,30.920205128205126,21.87596469473372,39,23.0
2270.0,26.748166666666666,30.77717453539803,18,4.1735
2275.0,28.42907692307692,24.171860284206307,39,19.1
2280.0,32.245400000000004,22.00286686075948,40,27.200000000000003
2284.9999999999,36.204794871794874,20.420920697037875,39,30.0
2290.0,32.16892105263158,21.929839545858798,38,26.6
2294.9999999999,33.63607692307692,21.640831090404102,39,27.1
2300.0,27.37535897435897,24.54866698759316,39,15.4
2304.9999999999,24.60920512820513,25.62318707032803,39,8.64
2310.0,35.617775,21.75732512368698,40,31.35
2315.0,30.597307692307695,21.640305876515466,39,25.3
